445	RENEW_RESIDENCE	1	157031	2019-06-12	2019-06-11	496			Noqoodi	1
445	RENEW_RESIDENCE	2	195988	2020-02-24	2020-02-23	197			Noqoodi	1
495	RENEW_RESIDENCE	1	170023	2019-09-09	2019-09-08	496			Noqoodi	1
495	RENEW_RESIDENCE	2	200174	2020-03-18	2020-03-17	196			Noqoodi	1
499	RENEW_RESIDENCE	1	167457	2019-08-24	2019-08-22	496			Noqoodi	1
499	RENEW_RESIDENCE	2	167628	2019-08-25	2019-08-24	497			Noqoodi	1
499	RENEW_RESIDENCE	3	200173	2020-03-18	2020-03-17	197			Noqoodi	1
502	RENEW_RESIDENCE	1	167627	2019-08-25	2019-08-24	496			Noqoodi	1
502	RENEW_RESIDENCE	2	195986	2020-02-24	2020-02-23	197			Noqoodi	1
554	RENEW_RESIDENCE	1	174406	2019-10-07	2019-10-06	496			Noqoodi	1
554	RENEW_RESIDENCE	2	195985	2020-02-24	2020-02-23	197			Noqoodi	1
566	RENEW_RESIDENCE	1	182309	2019-12-03	2019-11-30	396			Noqoodi	1
566	RENEW_RESIDENCE	2	200175	2020-03-18	2020-03-17	197			Noqoodi	1
576	RENEW_RESIDENCE	1	178679	2019-11-05	2019-11-04	496			Noqoodi	1
576	RENEW_RESIDENCE	2	345765	2021-10-18	2021-10-17	293.5	3	0.15	Noqoodi	1
580	RENEW_RESIDENCE	1	176479	2019-10-21	2019-10-20	496			Noqoodi	1
580	RENEW_RESIDENCE	2	200176	2020-03-18	2020-03-17	196			Noqoodi	1
581	RENEW_RESIDENCE	1	176481	2019-10-21	2019-10-20	497			Noqoodi	1
581	RENEW_RESIDENCE	2	176657	2019-10-22	2019-10-21	496			Noqoodi	1
652	RENEW_RESIDENCE	1	191492	2020-01-27	2020-01-26	396			Noqoodi	1
652	RENEW_RESIDENCE	2	195983	2020-02-24	2020-02-23	196			Noqoodi	1
692	RENEW_RESIDENCE	1	193744	2020-02-09	2020-02-08	396			Noqoodi	1
692	RENEW_RESIDENCE	2	195987	2020-02-24	2020-02-23	197			Noqoodi	1
737	RENEW_RESIDENCE	1	201785	2020-03-29	2020-03-28	396			Noqoodi	1
737	RENEW_RESIDENCE	2	206676	2020-04-12	2020-04-09	196			Noqoodi	1
2324	RENEW_RESIDENCE	1	347907	2021-10-27	2021-10-26	493.5	3	0.15	Noqoodi	1
2324	RENEW_RESIDENCE	2	356481	2021-11-23	2021-11-22	393.5	3	0.15	Noqoodi	1
3126	RENEW_RESIDENCE	1	427827	2022-06-24	2022-06-23	393.5	3	0.15	Noqoodi	1
3126	RENEW_RESIDENCE	2	606765	2023-06-19	2023-06-17	443.5	3	0.15	Noqoodi	1
4192	RENEW_RESIDENCE	1	549638	2023-03-11	2023-03-10	393.5	3	0.15	Noqoodi	1
4192	RENEW_RESIDENCE	2	550726	2023-03-14	2023-03-13	393.5	3	0.15	Noqoodi	1
4282	RENEW_RESIDENCE	1	547303	2023-03-06	2023-03-05	393.5	3	0.15	Noqoodi	1
4282	RENEW_RESIDENCE	2	548365	2023-03-08	2023-03-07	393.5	3	0.15	Noqoodi	1
4708	RENEW_RESIDENCE	1	581585	2023-05-02	2023-05-01	393.5	3	0.15	Noqoodi	1
4708	RENEW_RESIDENCE	2	602968	2023-06-06	2023-06-05	443.5	3	0.15	Noqoodi	1
5430	APPLY_FOR_RVISA	1	109134	2018-10-29	2018-10-29	476			Noqoodi	1
5430	APPLY_FOR_RVISA	2	109498	2018-10-30	2018-10-30	476			Noqoodi	1
6235	APPLY_FOR_RVISA	1	116186	2018-12-04	2018-12-04	497			Noqoodi	1
6235	APPLY_FOR_RVISA	2	195980	2020-02-24	2020-02-23	197			Noqoodi	1
6301	APPLY_FOR_RVISA	1	118064	2018-12-15	2018-12-15	496			Noqoodi	1
6301	APPLY_FOR_RVISA	2	195979	2020-02-24	2020-02-23	196			Noqoodi	1
6546	RENEW_RESIDENCE	1	792889	2024-03-07	2024-03-06	443.5	3	0.15	Noqoodi	1
6546	RENEW_RESIDENCE	2	799835	2024-03-19	2024-03-18	443.5	3	0.15	Noqoodi	1
6854	RENEW_RESIDENCE	1	805947	2024-04-01	2024-03-30	443.5	3	0.15	Noqoodi	1
6854	RENEW_RESIDENCE	2	820082	2024-04-06	2024-04-04	443.5	3	0.15	Noqoodi	1
6872	APPLY_FOR_RVISA	1	130479	2019-02-16	2019-02-14	497			Noqoodi	1
6872	APPLY_FOR_RVISA	2	200156	2020-03-18	2020-03-17	196			Noqoodi	1
6981	APPLY_FOR_RVISA	1	129955	2019-02-12	2019-02-12	497			Noqoodi	1
6981	APPLY_FOR_RVISA	2	195977	2020-02-24	2020-02-23	196			Noqoodi	1
7110	APPLY_FOR_RVISA	1	140102	2019-03-30	2019-03-28	496			Noqoodi	1
